hex_id,geometry,geom_time_min_5
8a1f99cdd79ffff,"POLYGON ((515165.8896113523 5034270.006984664, 515111.13202898495 5034319.185454259, 515130.3047749992 5034392.990590928, 515204.2348626785 5034417.61774812, 515258.9927717381 5034368.439754577, 515239.82026642386 5034294.634127785, 515165.8896113523 5034270.006984664))","POLYGON ((515194.4388809074 5034227.006405091, 515141.19940289966 5034320.477115291, 515149.7997532365 5034329.952196919, 515172.4468519373 5034349.982074879, 515221.15733471024 5034380.229377997, 515241.4137537577 5034383.322533289, 515235.69615712017 5034284.48788636, 515194.4388809074 5034227.006405091))"
8a1f99cdd617fff,"POLYGON ((515387.68223693466 5034343.88864587, 515332.92347329314 5034393.067020656, 515352.09569837345 5034466.872294338, 515422.6699032808 5034490.38154782, 515422.9984240395 5034355.652742915, 515387.68223693466 5034343.88864587))","POLYGON ((515391.51500527246 5034409.59620776, 515308.11999948684 5034410.481252017, 515307.7681144784 5034413.724427822, 515391.7385426882 5034423.661639071, 515391.6119372077 5034414.706908447, 515391.5569051836 5034411.640495689, 515391.51500527246 5034409.59620776))"
8a1f99cdd78ffff,"POLYGON ((515223.4073284863 5034491.422531679, 515297.3374626256 5034516.049811811, 515352.09569837345 5034466.872294338, 515332.92347329314 5034393.067020656, 515258.9927717381 5034368.439754577, 515204.2348626785 5034417.61774812, 515223.4073284863 5034491.422531679))","POLYGON ((515230.15354660706 5034416.602117007, 515191.46152880153 5034456.070107872, 515199.4638362881 5034476.742394788, 515246.61638613825 5034533.216148249, 515281.1387634127 5034533.422212924, 515298.6148917965 5034474.138919166, 515298.2440491205 5034469.116430569, 515288.11472481245 5034455.237979454, 515275.86218150775 5034443.231923129, 515270.5654863886 5034438.46409692, 515246.05483071605 5034419.895818592, 515230.15354660706 5034416.602117007))"
8a1f99cdd787fff,"POLYGON ((515168.64994733664 5034540.599667913, 515223.4073284863 5034491.422531679, 515204.2348626785 5034417.61774812, 515130.3047749992 5034392.990590928, 515075.54772053653 5034442.168203236, 515094.7204270681 5034515.972496669, 515168.64994733664 5034540.599667913))","POLYGON ((515131.4827879814 5034475.867309344, 515086.1923388041 5034476.791616439, 515141.6486706015 5034477.947091607, 515131.4827879814 5034475.867309344))"
8a1f99cdd637fff,"POLYGON ((515352.09569837345 5034466.872294338, 515297.3374626256 5034516.049811811, 515316.5096481847 5034589.85424222, 515390.43982873985 5034614.48164528, 515422.4373650982 5034585.745454981, 515422.6699032808 5034490.38154782, 515352.09569837345 5034466.872294338))","POLYGON ((515379.75680526916 5034495.912033943, 515339.8615165492 5034506.10210261, 515338.8219050846 5034518.853505119, 515449.35670062655 5034671.338381653, 515461.2372205258 5034678.544475024, 515449.1804395113 5034647.640941962, 515379.75680526916 5034495.912033943))"
8a1f99cdd7affff,"POLYGON ((515297.3374626256 5034516.049811811, 515223.4073284863 5034491.422531679, 515168.64994733664 5034540.599667913, 515187.8223736461 5034614.403608195, 515261.7519403541 5034639.0309023615, 515316.5096481847 5034589.85424222, 515297.3374626256 5034516.049811811))","POLYGON ((515261.3211918814 5034559.07079648, 515225.7115548913 5034559.17327715, 515222.0442113159 5034559.531012347, 515218.91480277403 5034560.5010862285, 515216.5508473717 5034561.750757822, 515214.26428882027 5034563.32279911, 515217.4401379422 5034601.281239163, 515226.1516719492 5034603.379857149, 515255.2708175339 5034607.172235528, 515280.94351899414 5034562.273639963, 515261.3211918814 5034559.07079648))"
8a1f99cdd7a7fff,"POLYGON ((515059.1365675874 5034638.952701827, 515133.06552043004 5034663.579887101, 515187.8223736461 5034614.403608195, 515168.64994733664 5034540.599667913, 515094.7204270681 5034515.972496669, 515039.9639005331 5034565.14925167, 515059.1365675874 5034638.952701827))","POLYGON ((515135.3813998611 5034528.814429248, 515085.75426235935 5034574.600382777, 515085.710731305 5034589.476170825, 515119.89773477375 5034602.223401462, 515121.8145580661 5034601.59476095, 515122.98842038156 5034601.086539622, 515131.90935063845 5034574.678031109, 515134.4020898277 5034555.653112688, 515135.3813998611 5034528.814429248))"
8a1f99cdd71ffff,"POLYGON ((515280.9240863998 5034712.8344894545, 515354.85369950347 5034737.461906535, 515409.61173401243 5034688.285722507, 515390.43982873985 5034614.48164528, 515316.5096481847 5034589.85424222, 515261.7519403541 5034639.0309023615, 515280.9240863998 5034712.8344894545))","POLYGON ((515305.59099730017 5034566.122036015, 515272.3149980557 5034661.095710533, 515279.4482571563 5034666.012432628, 515333.6298683439 5034695.496263825, 515370.29853809695 5034706.362270309, 515378.35451754247 5034602.517331749, 515365.90635705646 5034584.378058606, 515305.59099730017 5034566.122036015))"
8a1f99cdd457fff,"POLYGON ((514801.7693610492 5034688.050072089, 514875.6970861056 5034712.677039577, 514930.4522300441 5034663.501523124, 514911.27932224714 5034589.698563087, 514837.3510297743 5034565.071609619, 514782.5962125127 5034614.247602167, 514801.7693610492 5034688.050072089))","POLYGON ((514895.921408557 5034590.001048687, 514853.37670781394 5034590.544699988, 514794.77085931064 5034605.9822413875, 514842.3921380903 5034693.49457412, 514855.17588951596 5034705.801006242, 514909.47285141144 5034687.354183806, 514912.4016364094 5034606.171425258, 514895.921408557 5034590.001048687))"
8a1f99cdd44ffff,"POLYGON ((515023.55319658964 5034761.93120635, 515097.4815819912 5034786.558405633, 515152.23790724884 5034737.382984069, 515133.06552043004 5034663.579887101, 515059.1365675874 5034638.952701827, 515004.3805690034 5034688.128599505, 515023.55319658964 5034761.93120635))","POLYGON ((515130.88495025196 5034675.44058242, 515018.27080876136 5034732.307624667, 515047.33744992473 5034767.617152455, 515053.94415275 5034773.721096711, 515083.35781934066 5034797.821932312, 515086.22871578654 5034793.762671986, 515134.2566906436 5034680.936896989, 515130.88495025196 5034675.44058242))"
